,id,location,gender,department,study level,total_duration,most_used_group
3110,5256,1,1.0,14.0,0.0,7360.0,Toolbox
3111,5257,2,0.0,12.0,0.0,56986.0,3D-Printer
3112,5258,1,1.0,10.0,1.0,268525.0,Other
3113,5259,2,0.0,2.0,1.0,1094335.0,Other
3114,5266,2,1.0,9.0,0.0,678822.0,3D-Printer
3115,5274,2,1.0,14.0,1.0,208.0,Toolbox
3116,5276,1,1.0,9.0,1.0,158595.0,3D-Printer
3117,5277,2,1.0,9.0,1.0,216904.0,Toolbox
3118,5278,1,1.0,12.0,0.0,9647.0,3D-Printer
3119,5280,2,0.0,13.0,0.0,1474525.0,3D-Printer
3120,5282,2,0.0,12.0,1.0,5519.0,Lasercutter
3121,5283,1,1.0,1.0,0.0,187164.0,3D-Printer
3122,5284,1,1.0,1.0,0.0,182688.0,3D-Printer
3123,5287,2,1.0,8.0,1.0,85012.0,3D-Printer
3124,5289,1,1.0,0.0,-1.0,90068.0,3D-Printer
3125,5293,2,0.0,12.0,0.0,329991.0,3D-Printer
3126,5296,2,1.0,8.0,0.0,4653.0,Lasercutter
3127,5297,1,1.0,10.0,0.0,13952.0,Lasercutter
3128,5300,2,0.0,12.0,0.0,2802.0,Lasercutter
3129,5302,2,1.0,12.0,1.0,9151.0,Dirt & Dust
3130,5303,1,0.0,7.0,0.0,909.0,Dirt & Dust
3131,5304,2,1.0,12.0,0.0,12336.0,3D-Printer
3132,5305,2,0.0,0.0,1.0,769.0,Toolbox
3133,5306,2,1.0,9.0,1.0,3518.0,Toolbox
3134,5310,2,0.0,7.0,0.0,289.0,Toolbox
3135,5311,2,1.0,9.0,0.0,20775.0,Toolbox
3136,5313,1,0.0,8.0,1.0,9268.0,Toolbox
3137,5314,1,1.0,12.0,1.0,1836.0,Lasercutter
3138,5322,1,1.0,9.0,0.0,142498.0,Toolbox
3139,5323,2,1.0,12.0,0.0,160.0,Toolbox
3140,5324,2,1.0,12.0,0.0,15.0,Toolbox
3141,5327,1,0.0,4.0,0.0,3193.0,Dirt & Dust
3142,5328,1,1.0,9.0,1.0,71436.0,Lasercutter
3143,5329,1,1.0,4.0,0.0,713273.0,Toolbox
3144,5330,1,0.0,4.0,0.0,315063.0,3D-Printer
3145,5332,2,1.0,9.0,0.0,323530.0,3D-Printer
3146,5333,2,1.0,4.0,0.0,1944.0,Toolbox
3147,5334,1,0.0,11.0,0.0,204387.0,Dirt & Dust
3148,5336,1,1.0,14.0,0.0,266838.0,3D-Printer
3149,5338,1,0.0,14.0,2.0,282065.0,Toolbox
3150,5339,2,0.0,12.0,1.0,15633.0,Other
3151,5351,2,1.0,12.0,0.0,10854.0,Other
3152,5352,1,1.0,14.0,0.0,268352.0,3D-Printer
3153,5355,1,1.0,1.0,0.0,162951.0,3D-Printer
3154,5358,2,1.0,7.0,0.0,13349.0,3D-Printer
3155,5359,1,1.0,7.0,0.0,477082.0,3D-Printer
3156,5360,1,1.0,12.0,0.0,23153.0,Lasercutter
3157,5361,1,1.0,4.0,1.0,1722300.0,3D-Printer
3158,5363,1,1.0,9.0,2.0,11069.0,Lasercutter
3159,5364,1,1.0,14.0,0.0,9075.0,Lasercutter
3160,5365,2,1.0,8.0,1.0,48789.0,Toolbox
3161,5366,2,1.0,12.0,2.0,93055.0,3D-Printer
3162,5367,2,1.0,12.0,0.0,1406986.0,3D-Printer
3163,5368,2,1.0,12.0,0.0,9448.0,Lasercutter
3164,5370,2,1.0,8.0,0.0,12.0,Toolbox
3165,5371,2,1.0,12.0,0.0,3128.0,Toolbox
3166,5373,2,1.0,12.0,0.0,23051.0,Lasercutter
3167,5377,2,1.0,12.0,1.0,245268.0,3D-Printer
3168,5379,2,1.0,12.0,1.0,147864.0,Toolbox
3169,5382,2,0.0,9.0,0.0,4315.0,Toolbox
3170,5383,1,1.0,9.0,1.0,104160.0,3D-Printer
3171,5384,2,1.0,9.0,0.0,7550.0,Toolbox
3172,5385,2,1.0,9.0,0.0,1758.0,Toolbox
3173,5390,2,1.0,12.0,0.0,6932.0,Lasercutter
3174,5391,2,0.0,7.0,-1.0,2637.0,3D-Printer
3175,5393,1,0.0,11.0,0.0,973214.0,Other
3176,5394,2,1.0,12.0,1.0,83.0,Toolbox
3177,5396,1,1.0,7.0,-1.0,74565.0,Toolbox
3178,5398,2,1.0,12.0,1.0,2629.0,Toolbox
3179,5399,2,1.0,12.0,1.0,29216.0,3D-Printer
3180,5401,2,1.0,12.0,1.0,89031.0,3D-Printer
3181,5403,2,1.0,12.0,0.0,562304.0,3D-Printer
3182,5405,2,1.0,12.0,0.0,8.0,Toolbox
3183,5408,2,1.0,12.0,0.0,302576.0,3D-Printer
3184,5413,1,1.0,12.0,0.0,11139.0,Lasercutter
3185,5414,1,1.0,12.0,0.0,18640.0,Lasercutter
3186,5420,2,1.0,12.0,2.0,90138.0,3D-Printer
3187,5423,2,1.0,12.0,1.0,21841.0,Lasercutter
3188,5428,2,1.0,9.0,1.0,68515.0,DLP Printer
3189,5430,2,1.0,2.0,1.0,300919.0,3D-Printer
3190,5434,2,1.0,9.0,0.0,2033.0,Lasercutter
3191,5436,2,1.0,9.0,0.0,66349.0,Toolbox
3192,5437,2,1.0,9.0,0.0,12452.0,Toolbox
3193,5438,1,1.0,9.0,1.0,22372.0,Toolbox
3194,5439,1,0.0,9.0,1.0,368993.0,Dirt & Dust
3195,5444,1,0.0,15.0,2.0,54541.0,3D-Printer
